Date,Total Conversations,Conversations with Response,10+ Minute Waits,Percentage 10+ Min,Conversation IDs (10+ min),Database ID,Timestamp
2025-12-17,286,282,37,13.12%,"215472305467854 (13.92 min), 215472306147395 (10.87 min), 215472317335324 (21.03 min), 215472306250046 (17.63 min), 215472317848185 (28.97 min), 215472304739570 (15.13 min), 215472307829041 (10.02 min), 215472308046552 (12.45 min), 215472316555858 (54.1 min), 215472306228708 (14.35 min), 215472305167670 (12.3 min), 215472307916156 (10.23 min), 215472307919428 (16.15 min), 215472318668743 (11.3 min), 215472318053253 (13.62 min), 215472303955409 (17.23 min), 215472317922968 (17.17 min), 215472304665299 (12.38 min), 215472306239537 (19.23 min), 215472306108369 (11.42 min), 215472307990695 (14.23 min), 215472309780125 (14.18 min), 215472307931165 (18.95 min), 215472306271092 (15.43 min), 215472307917208 (11.07 min), 215472308047228 (13.62 min), 215472307997443 (15.35 min), 215472307899180 (11.68 min), 215472306054142 (10.82 min), 215472305982705 (11.48 min), 215472306155755 (14.87 min), 215472306137735 (10.02 min), 215472305360804 (29.82 min), 215472303290894 (11.0 min), 215472303651235 (18.13 min), 215472305098267 (11.08 min), 215472303887009 (11.63 min)",12,2025-12-30T21:33:55.331878
2025-12-18,236,236,12,5.08%,"215472331639319 (118.08 min), 215472324220449 (10.55 min), 215472320260719 (18.25 min), 215472321630086 (12.97 min), 215472324475713 (11.4 min), 215472332481993 (41.95 min), 215472320253858 (11.63 min), 215472324482404 (12.47 min), 215472324456582 (12.57 min), 215472322704421 (11.93 min), 215472325868180 (36.75 min), 215472324237216 (12.4 min)",13,2025-12-30T21:34:22.478001
2025-12-19,190,186,14,7.53%,"215472339162208 (12.82 min), 215472338254491 (12.08 min), 215472336278903 (139.73 min), 215472336461982 (16.35 min), 215472338014243 (16.9 min), 215472336710856 (10.83 min), 215472338564973 (12.33 min), 215472339126230 (12.45 min), 215472335454658 (12.37 min), 215472339173352 (11.38 min), 215472336449936 (21.93 min), 215472338011072 (14.02 min), 215472334693563 (11.58 min), 215472336724832 (10.65 min)",14,2025-12-30T21:34:47.667949
2025-12-22,202,202,6,2.97%,"215472388792889 (11.77 min), 215472388059483 (164.7 min), 215472386906469 (18.63 min), 215472374163637 (13.17 min), 215472374943281 (12.8 min), 215472374527642 (16.55 min)",15,2025-12-30T21:35:11.983158
2025-12-23,169,166,1,0.6%,215472404818062 (192.27 min),16,2025-12-30T21:35:31.156654
2025-12-24,50,48,1,2.08%,215472411597041 (10.15 min),17,2025-12-30T21:35:38.200269
2025-12-25,5,5,4,80.0%,"215472420297835 (905.32 min), 215472424426301 (310.47 min), 215472421470940 (693.43 min), 215472422074810 (631.42 min)",18,2025-12-30T21:35:40.176232
2025-12-26,41,40,0,0.0%,,19,2025-12-30T21:35:47.886230
2025-12-29,115,113,4,3.54%,"215472472931525 (289.8 min), 215472473568553 (165.63 min), 215472473642946 (151.3 min), 215472461280004 (10.1 min)",4,2025-12-30T21:36:02.415398
2025-12-30,109,108,0,0.0%,,10,2025-12-30T21:36:14.828691
